Username,Transaction ID,Transaction Type,Amount,Description,Date,Balance
24004592,1,Debit,1000.0,Living,Wed Dec 11 11:00:35 MYT 2024,1000.0
24004592,2,Debit,2000.0,Living,Wed Dec 11 11:00:50 MYT 2024,3000.0
24004592,3,Debit,2000.0,Living,Wed Dec 11 11:01:02 MYT 2024,5000.0
24004592,4,Debit,2000.0,Livingï¼ŒExpenses,Wed Dec 11 11:01:51 MYT 2024,7000.0
24004592,5,Debit,1000.0,lIVING,Wed Dec 11 11:09:15 MYT 2024,8000.0
24004592,6,Credit,0.0,Living,Wed Dec 11 11:12:07 MYT 2024,8000.0
24004592,7,Debit,1000.0,,Wed Dec 11 11:15:16 MYT 2024,9000.0
24004592,8,Credit,1000.0,,Wed Dec 11 11:16:13 MYT 2024,8000.0
24004592,9,Debit,1000.0,Living,Wed Dec 11 11:21:42 MYT 2024,9000.0
24004592,10,Debit,1000.0,Living,Thu Dec 12 20:37:33 MYT 2024,1000.0
24004592,11,Debit,10000.0,Living,Thu Dec 12 20:40:57 MYT 2024,10000.0
24004592,12,Debit,10000.0,Living,Thu Dec 12 20:41:14 MYT 2024,20000.0
24004592,13,Debit,1000.0,Living,Thu Dec 12 20:41:44 MYT 2024,1000.0
24004592,14,Debit,2000.0,Living,Thu Dec 12 20:42:17 MYT 2024,3000.0
24004592,15,Debit,3000.0,Living,Thu Dec 12 20:42:36 MYT 2024,6000.0
24004592,16,Debit,4000.0,Living,Thu Dec 12 20:43:07 MYT 2024,4000.0
24004592,17,Debit,1000.0,Living Expenses,Thu Dec 12 20:44:43 MYT 2024,1000.0
24004592,18,Debit,10000.0,Living,Thu Dec 12 20:47:27 MYT 2024,11000.0
24004592,19,Debit,1000.0,Living,Thu Dec 12 20:49:42 MYT 2024,12000.0
24004592,20,Debit,3000.0,Living,Thu Dec 12 20:50:40 MYT 2024,15000.0
24004592,21,Credit,2000.0,,Thu Dec 12 20:51:54 MYT 2024,13000.0
24004592,22,Credit,2000.0,Living,Thu Dec 12 20:54:30 MYT 2024,15000.0
24004592,23,Debit,2000.0,Gaming and Birthday,Thu Dec 12 20:55:22 MYT 2024,17000.0
24004592,24,Credit,6000.0,,Thu Dec 12 20:55:40 MYT 2024,11000.0
24004592,25,Debit,1000.0,Living,Thu Dec 12 23:38:57 MYT 2024,12000.0
24004592,26,Debit,1000.0,Living,Fri Dec 13 12:03:02 MYT 2024,13000.0
24004592,27,Credit,1000.0,,Fri Dec 13 12:03:25 MYT 2024,12000.0
24004592,28,Credit,1000.0,,Fri Dec 13 12:03:48 MYT 2024,11000.0
24004593,29,Debit,1000.0,Living,Fri Dec 13 20:43:06 MYT 2024,1000.0
24004593,30,Debit,2000.0,Eat,Fri Dec 13 20:43:30 MYT 2024,3000.0
24004593,31,Credit,500.0,Eat,Fri Dec 13 20:43:59 MYT 2024,2500.0
meowmeowmeow,32,Debit,0.0,Salary,Sat Dec 14 23:21:06 MYT 2024,0.0
meowmeowmeow,33,Credit,500.0,Yiukang,Sat Dec 14 23:21:42 MYT 2024,-500.0
24004592,34,Debit,1000.0,Movie,Sat Dec 14 23:32:19 MYT 2024,12000.0
24004592,35,Debit,1000.0,Movie,Sat Dec 14 23:35:36 MYT 2024,13000.0
24004592,36,Credit,10000.0,Movie,Sat Dec 14 23:36:00 MYT 2024,3000.0
24004592,37,Debit,1000.0,Living Expenses,Tue Dec 17 09:34:32 MYT 2024,4000.0
24004592,38,Credit,2000.0,happy go lucky,Tue Dec 17 09:37:59 MYT 2024,2000.0
24004592,39,Debit,1000.0,Expenses,Tue Dec 17 09:45:44 MYT 2024,3000.0
24004592,40,Credit,1.0,Descrption,Tue Dec 17 09:46:18 MYT 2024,2999.0
24004592,41,Debit,1000.0,Happy,Tue Dec 17 09:53:05 MYT 2024,3999.0
24004592,42,Debit,1000.0,Happy,Tue Dec 17 09:53:11 MYT 2024,4999.0
24004592,43,Debit,2000.0,Living,Tue Dec 17 09:55:23 MYT 2024,6999.0
ccyenoc,44,Debit,2000.0,Living,Tue Dec 17 23:12:26 MYT 2024,2000.0
ccyenoc,45,Credit,3000.0,Living,Tue Dec 17 23:12:43 MYT 2024,-1000.0
ccyenoc,46,Debit,3000.0,Living,Tue Dec 17 23:15:31 MYT 2024,2000.0
ccyenoc,47,Credit,1000.0,Living,Tue Dec 17 23:16:03 MYT 2024,1000.0